,Daily VaR 95,Daily Expected Shortfall 95,Daily VaR 99,Daily Expected Shortfall 99,Average Drawdown,Time Under Water,Tail Ratio,Skew,Excess Kurtosis,Worst Day,Best Day
Diversified Futures Vol-Target Strategy (Net),0.013750707903408651,0.01904420107535164,0.02197420173152383,0.027942835764957964,-0.08577920224866513,0.9399009731944682,1.0763824107646227,-0.07657059927021817,1.7075472172047101,-0.050354468867521596,0.04477239041069068
Diversified Futures Vol-Target Strategy (Gross),0.013731421865972093,0.01900986639394237,0.021920719000985106,0.02789414828483903,-0.07998703115510473,0.9368277275055489,1.0785782468879441,-0.0737198658725535,1.7066855160160657,-0.0502438966905084,0.04485666594447474
Equal-Weight Futures Basket,0.010734741322787813,0.016011292323074418,0.019552149520664672,0.025952111244495465,-0.06816134733143842,0.934949632917876,1.088424209156421,-0.16676774101022407,3.2904646833638633,-0.04548051483698012,0.04227949418191364
Inverse-Vol Futures Basket,0.005888934801575474,0.008685577222259116,0.010367405420926883,0.013632465301589099,-0.03331536993396282,0.9195834044732798,1.0084932978338215,-0.23098515220996138,3.320301881229666,-0.025926046072864594,0.022276777391087476
Simple TSMOM Futures Benchmark,0.01210848527459976,0.016822029849671395,0.019558398444309653,0.024372523249632395,-0.15650292938881058,0.9766091855898924,0.9677244978422114,-0.13173996844752728,1.8734799779658555,-0.03889169972776796,0.049326848450003756
60/40 SPY/IEF Monthly Rebalanced,0.009807418520820099,0.016030753884699503,0.019120525807036614,0.02803744305924361,-0.03769819628439099,0.8463377155540379,0.9846984879484104,0.10566667610769716,14.67638211528528,-0.0572028765134448,0.0843810372649616
DBMF Managed Futures ETF,0.013248721489753201,0.019227527558258746,0.022937812626917253,0.03139935098241456,-0.07023693528988069,0.9397183098591549,0.9196418304423569,-0.6120773451561632,3.210920560668158,-0.04128826343999614,0.03287663291613718
KMLM Managed Futures ETF,0.014784725420736743,0.023218633519844965,0.028691231646954078,0.03558127227008444,-0.1592155115565053,0.9571843251088534,0.9515832005919637,-0.6376829435199425,2.691961532450553,-0.05181616774044673,0.031416613507804
SPY Buy & Hold,0.0170429266056517,0.028425118778468438,0.033994279361461564,0.04980216287027541,-0.07688588705929554,0.8745091343691309,0.9463690476008951,-0.016558324211107922,15.228573250215108,-0.10942358308991895,0.14519694441813447
