,Annual Return,Annual Volatility,Sharpe,Sortino,Max Drawdown,Calmar,Win Rate,Worst Month,Best Month,Beta to SPY,Correlation to SPY,Total Return
Diversified Futures Vol-Target Strategy (Net),0.10879773971688533,0.13964760778033453,0.6892973471219309,1.0445003445194336,-0.2961164493580489,0.3674153865911469,0.5285982584941096,-0.10798817771438796,0.13175358625037137,0.32494005161799694,0.4338886112504722,10.027085632725363
Diversified Futures Vol-Target Strategy (Gross),0.11589131856209445,0.1396467070844808,0.7349877174834971,1.114850264810081,-0.2949660137023472,0.39289719214580904,0.5301348813385692,-0.1078206867446766,0.1323020927390135,0.32489421472406704,0.4338302038954803,11.788841264543942
Equal-Weight Futures Basket,0.08598541608642418,0.1133145981010922,0.636540841486337,0.911485455867559,-0.3118468683924046,0.27572961219615844,0.5301348813385692,-0.11677003014021226,0.09712631716598574,0.30229345461746304,0.4974522358448282,5.801794730834112
Inverse-Vol Futures Basket,0.046857739582500946,0.059783509236133896,0.5149764265736645,0.7138914594510255,-0.1809597959094459,0.2589400554250682,0.546184053269592,-0.06883329414970696,0.0508700973097036,0.15976661646053525,0.4983255329248486,1.8988813953406334
Simple TSMOM Futures Benchmark,0.011692322773967145,0.11675789778592358,0.014105017724393454,0.020566456342779045,-0.3426395369653602,0.03412426621143024,0.5084514256445279,-0.1021264286256377,0.08806099937438283,0.07792113459287922,0.12444501570257668,0.3101966867615984
60/40 SPY/IEF Monthly Rebalanced,0.0890916344773256,0.10737517233243317,0.692151253783419,0.8771078590720441,-0.3137951103642338,0.2839165797513976,0.5560867338227762,-0.09767469344490298,0.07756248872309102,0.5585209414332815,0.9699382666375633,6.268648256480794
DBMF Managed Futures ETF,0.09405511218597984,0.12413542532586645,0.5687646743369601,0.7218892132901937,-0.20393116980867643,0.4612100851195048,0.548169014084507,-0.08841550779194107,0.10586508691881802,0.11605137009790106,0.18475921185466515,0.8835558001097279
KMLM Managed Futures ETF,0.05982259538716739,0.1478729691480364,0.2508793433026701,0.3263421081339547,-0.31005875644369163,0.1929395449859888,0.525399129172714,-0.1004759164930229,0.09753633150330399,-0.12064904105005549,-0.13676771341246913,0.37398314820735834
SPY Buy & Hold,0.11714580671010921,0.18646980051413287,0.5974140153439942,0.7350827093509522,-0.5518944543630571,0.21226124992559947,0.5533549598770702,-0.16518677468480247,0.1269837242230647,0.999999999999998,1.0,12.127209424158032
